entry_key,Track ID,Track Title,Album Name,Popularity Rank,Duration (seconds),Artist ID,Duration (min:sec)
37,17135111,Firework,Teenage Dream: The Complete Confection,866076,228,144227,3:48
38,71645431,Roar,PRISM (Deluxe),884432,223,144227,3:43
39,17135110,California Gurls,Teenage Dream: The Complete Confection,865654,234,144227,3:54
40,17135109,Last Friday Night (T.G.I.F.),Teenage Dream: The Complete Confection,878135,231,144227,3:51
41,1965249667,Made You Look,Takin' It Back,845836,134,1181430,2:14
42,113420702,All About That Bass,Title (Expanded Edition),775411,189,1181430,3:09
43,3060706211,Wrap Me Up,Holiday Seasoning,312693,147,1181430,2:27
44,358920101,NO,Thank You (Deluxe Version),750927,214,1181430,3:34
45,92739396,Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),636389,225,1181430,3:45
46,3100316021,Popular,Wicked: The Soundtrack,851657,241,1562681,4:01
47,2690050002,we can't be friends (wait for your love),eternal sunshine,929367,230,1562681,3:50
48,3100315991,What Is This Feeling?,Wicked: The Soundtrack,802706,229,1562681,3:49
49,1352360622,Save Your Tears (Remix),Save Your Tears (Remix),923146,191,1562681,3:11
50,629899842,7 rings,"thank u, next",921719,178,1562681,2:58
51,653759772,Hurricane,TRAUMA,562662,223,7185748,3:43
52,1863865517,Self-Destruction,TRUE POWER,487152,146,7185748,2:26
53,1863865527,Bad Things,TRUE POWER,542106,228,7185748,3:48
54,916222072,Feel Something,Feel Something,419734,221,7185748,3:41
55,2817557812,can u see me in the dark?,can u see me in the dark?,596735,238,7185748,3:58
56,3179961461,Spiral,Spiral,688822,185,68249,3:05
57,1214757992,you broke me first,you broke me first,421961,168,68249,2:48
58,2694674442,Beautiful Things,Beautiful Things,450278,179,68249,2:59
59,75176887,Same Old War,Oak Island,443493,244,68249,4:04
60,2477438231,Something in the Orange,Something in the Orange,192839,202,68249,3:22
61,2728070371,"Good Luck, Babe!","Good Luck, Babe!",993717,218,12945219,3:38
62,2454854845,Pink Pony Club,The Rise and Fall of a Midwest Princess,828830,258,12945219,4:18
63,2454854795,HOT TO GO!,The Rise and Fall of a Midwest Princess,841592,184,12945219,3:04
64,2454854745,Red Wine Supernova,The Rise and Fall of a Midwest Princess,753416,193,12945219,3:13
65,2454854805,My Kink Is Karma,The Rise and Fall of a Midwest Princess,709448,222,12945219,3:42
66,1861248217,we fell in love in october,we fell in love in october / forget her,874613,184,14226477,3:04
67,1867276277,i wanna be your girlfriend,chapter 1,808171,204,14226477,3:24
68,2710026182,You Need Me Now?,You Need Me Now?,677867,186,14226477,3:06
69,1913714107,midnight love,if i could make it go quiet,680893,193,14226477,3:13
70,1898878067,bad idea!,chapter 2,674189,219,14226477,3:39
71,1546530922,Song You'll Never Hear,Song You'll Never Hear,231195,153,13022633,2:33
72,1818564827,Blonde,Blonde,487429,181,13022633,3:01
73,870909812,Smile,Birds of Prey: The Album,287893,157,13022633,2:37
74,2327840905,History Of Man,The Good Witch,491621,208,13022633,3:28
75,1916924597,Not Another Rockstar,Not Another Rockstar,443284,149,13022633,2:29
76,3185132481,GBP,GBP,975916,154,12096038,2:34
77,2816017052,BAND4BAND,BAND4BAND,874745,140,12096038,2:20
78,2306120355,Sprinter,Sprinter,830203,229,12096038,3:49
79,2311135105,UK Rap,Split Decision,662707,198,12096038,3:18
80,2881692482,Did It First,Did It First,818190,118,12096038,1:58
81,533609232,God's Plan,Scorpion,913770,198,246791,3:18
82,124603270,One Dance,Views,911067,174,246791,2:54
83,2486117571,First Person Shooter,For All The Dogs,682252,247,246791,4:07
84,1733245187,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,710949,189,246791,3:09
85,4302194,Forever (Explicit Version),Forever,721210,357,246791,5:57
86,3152238311,Pass the Salt (feat. Vince Staples),Pass the Salt (feat. Vince Staples),610558,167,4037971,2:47
87,1421804822,TAKE ME HOME,Vince Staples,310179,166,4037971,2:46
88,102027543,Norf Norf,Norf Norf,411529,183,4037971,3:03
89,2805873192,Étouffée,Dark Times,449771,268,4037971,4:28
90,373954461,Yeah Right,Big Fish Theory,326230,188,4037971,3:08
91,2584501212,Forreal,Foxes Only,346925,132,9776678,2:12
92,2125612367,drive ME crazy!,Let’s Start Here.,624386,230,9776678,3:50
93,972923212,Pardon Me,Lil Boat 3,514838,179,9776678,2:59
94,2221652837,Strike (Holster),Strike (Holster),494537,148,9776678,2:28
95,3029632601,Fuck Fame (feat. Lil Yachty & Lil Baby),Last Lap,306896,184,9776678,3:04
96,690610892,Ransom,Ransom,930849,131,14492701,2:11
97,2367724605,500lbs,500lbs,718943,144,14492701,2:24
98,741757142,Did It Again,We Love You Tecca,541823,116,14492701,1:56
99,731702962,Ransom (Remix),Ransom (Remix),684006,171,14492701,2:51
100,2607557802,Down With Me,Down With Me,630509,120,14492701,2:00
101,142986206,Perfect,÷ (Deluxe),964953,263,384236,4:23
102,79875064,Thinking out Loud,x (Deluxe Edition),908675,281,384236,4:41
103,1484264492,Shivers,Shivers,902797,207,384236,3:27
104,139470659,Shape of You,Shape of You,968208,233,384236,3:53
105,79875054,Photograph,x (Deluxe Edition),910834,258,384236,4:18
106,2801558052,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,998290,210,9635624,3:30
107,2801558062,WILDFLOWER,HIT ME HARD AND SOFT,997222,261,9635624,4:21
108,2801558042,CHIHIRO,HIT ME HARD AND SOFT,961805,303,9635624,5:03
109,2801558032,LUNCH,HIT ME HARD AND SOFT,968668,180,9635624,3:00
110,1449740592,Happier Than Ever,Happier Than Ever,906308,298,9635624,4:58
111,2780753191,I Had Some Help,I Had Some Help,882894,178,7543848,2:58
112,602456552,Sunflower (Spider-Man: Into the Spider-Verse),Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),910425,158,7543848,2:38
113,491446942,rockstar,beerbongs & bentleys,873058,219,7543848,3:39
114,2945220581,Losers,F-1 Trillion,706297,209,7543848,3:29
115,2945220491,Wrong Ones,F-1 Trillion,721354,196,7543848,3:16
116,2661514912,Training Season,Training Season,996500,209,8706544,3:29
117,1124841682,Levitating,Future Nostalgia,925944,203,8706544,3:23
118,2525537871,Houdini,Houdini,958111,185,8706544,3:05
119,366297921,New Rules,Dua Lipa (Deluxe),863123,209,8706544,3:29
120,1457025872,Cold Heart (PNAU Remix),Cold Heart (PNAU Remix),953309,203,8706544,3:23
121,3014557461,Timeless,Timeless,993535,256,4050205,4:16
122,908604612,Blinding Lights,After Hours,984833,204,4050205,3:24
123,2338371075,One Of The Girls,The Idol Episode 4 (Music from the HBO Original Series),941585,245,4050205,4:05
124,136889400,Starboy,Starboy,946891,230,4050205,3:50
125,1352360622,Save Your Tears (Remix),Save Your Tears (Remix),923146,191,4050205,3:11
126,528330441,Believer,Evolve,978978,202,416239,3:22
127,58071451,Demons,Night Visions,500858,175,416239,2:55
128,1682954137,Bones,Bones,960337,165,416239,2:45
129,1535046792,Enemy (from the series Arcane League of Legends),Enemy (from the series Arcane League of Legends),958749,173,416239,2:53
130,528330501,Thunder,Evolve,896192,187,416239,3:07
131,1174602992,Rolling in the Deep,21,791274,228,75798,3:48
132,1174603032,Set Fire to the Rain,21,812387,242,75798,4:02
133,1522223672,Easy On Me,Easy On Me,958136,224,75798,3:44
134,82715364,Skyfall,Skyfall,970413,286,75798,4:46
135,1174604652,Hello,Hello,718720,295,75798,4:55
136,2947516331,Die With A Smile,Die With A Smile,997757,250,429675,4:10
137,3050380851,APT.,APT.,992741,169,429675,2:49
138,136336116,That's What I Like,24K Magic,942666,206,429675,3:26
139,62724019,When I Was Your Man,Unorthodox Jukebox,957153,213,429675,3:33
140,62724015,Locked out of Heaven,Unorthodox Jukebox,960737,233,429675,3:53
141,1576169062,Butter,"Butter (Hotter, Sweeter, Cooler)",864141,164,6982223,2:44
142,1498546032,My Universe,My Universe,887452,228,6982223,3:48
143,1564465082,Dynamite,Dynamite (NightTime Version),847234,199,6982223,3:19
144,1783253587,Spring Day,Proof,633931,274,6982223,4:34
145,1580983462,Boy With Luv (Feat. Halsey),MAP OF THE SOUL : 7,698422,229,6982223,3:49
146,1165303,She Will Be Loved,Songs About Jane,846698,257,1188,4:17
147,83124206,Animals,Animals,905466,231,1188,3:51
148,1400843202,Memories,JORDI (Deluxe),911573,189,1188,3:09
149,84124185,Payphone,Overexposed (Deluxe),572778,231,1188,3:51
150,100052800,Sugar,V,842550,235,1188,3:55
151,1425844092,STAY,STAY,927999,140,288166,2:20
152,5606967,Baby,My World 2.0,843170,216,288166,3:36
153,37030571,Beauty And A Beat,Believe,425994,228,288166,3:48
154,678685952,Flatline,Flatline,634102,219,288166,3:39
155,1280165212,Ghost,Justice,760316,153,288166,2:33
156,2826366282,Wanna Be (Remix),Wanna Be (Remix),647487,224,9064930,3:44
157,482986842,I Like It,Invasion of Privacy,847435,253,9064930,4:13
158,2008103947,Tomorrow 2,"Anyways, Life’s Great…",530626,209,9064930,3:29
159,2700509182,Enough (Miami),Enough (Miami),560782,158,9064930,2:38
160,1044791832,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),749687,187,9064930,3:07
161,2386586085,FE!N (feat. Playboi Carti),UTOPIA,974162,191,4495513,3:11
162,767583072,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,924026,175,4495513,2:55
163,132201196,goosebumps,Birds In The Trap Sing McKnight,937234,243,4495513,4:03
164,2848182532,Parking Lot,Parking Lot,762092,172,4495513,2:52
165,536421002,SICKO MODE,ASTROWORLD,886867,313,4495513,5:13
166,1088873812,Without Me,Manic,879483,201,5292512,3:21
167,472400862,Bad At Love,hopeless fountain kingdom (Deluxe Plus),722988,181,5292512,3:01
168,439864512,Him & I,The Beautiful & Damned,905421,268,5292512,4:28
169,129310248,Closer,Closer,835677,249,5292512,4:09
170,525343612,Eastside,Eastside,737392,173,5292512,2:53
171,143172406,Young Dumb & Broke,American Teen,721055,202,362326,3:22
172,657365542,Better,Free Spirit,534969,229,362326,3:49
173,525343612,Eastside,Eastside,737392,173,362326,2:53
174,2732553231,Please Don't Fall In Love With Me,Please Don't Fall In Love With Me,677346,181,362326,3:01
175,460570702,Love Lies,Love Lies,654193,201,362326,3:21
176,67232347,La La La,La La La,862176,220,1097709,3:40
177,1905751117,Unholy,Unholy,929311,156,1097709,2:36
178,111780380,I'm Not The Only One,In The Lonely Hour (Drowning Shadows Edition),905231,239,1097709,3:59
179,422202502,Too Good At Goodbyes,The Thrill Of It All (Special Edition),861730,201,1097709,3:21
180,111780376,Stay With Me,In The Lonely Hour (Drowning Shadows Edition),869758,172,1097709,2:52
181,1818665227,2 Be Loved (Am I Ready),Special,829486,187,5200025,3:07
182,407250732,Truth Hurts,Truth Hurts,411923,173,5200025,2:53
183,857206512,Good as Hell (feat. Ariana Grande),Cuz I Love You (Super Deluxe),728816,159,5200025,2:39
184,1818665207,About Damn Time,Special,741854,191,5200025,3:11
185,666286232,Juice,Cuz I Love You,721138,195,5200025,3:15
186,1703487577,As It Was,As It Was,967804,167,5313805,2:47
187,360301951,Sign of the Times,Harry Styles,913281,340,5313805,5:40
188,830336922,Watermelon Sugar,Fine Line,923888,173,5313805,2:53
189,830336932,Adore You,Fine Line,816430,207,5313805,3:27
190,830336962,Falling,Fine Line,799123,240,5313805,4:00
191,702421822,LA CANCIÓN,OASIS,817331,242,4860761,4:02
192,482986842,I Like It,Invasion of Privacy,847435,253,4860761,4:13
193,1045832172,No Me Conoce (Remix),Summer Vacation,688047,309,4860761,5:09
194,376989861,Mi Gente,Mi Gente,656383,189,4860761,3:09
195,1065099182,Una Locura,ENOC,657152,230,4860761,3:50
196,3171003131,DtMF,DeBÍ TiRAR MáS FOToS,981279,237,10583405,3:57
197,3171003001,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,971935,367,10583405,6:07
198,3171002981,NUEVAYoL,DeBÍ TiRAR MáS FOToS,977729,183,10583405,3:03
199,3171002991,VOY A LLeVARTE PA PR,DeBÍ TiRAR MáS FOToS,975046,156,10583405,2:36
200,3171003031,VeLDÁ,DeBÍ TiRAR MáS FOToS,992606,235,10583405,3:55
201,2387373015,Paint The Town Red,Paint The Town Red,951789,231,5578942,3:51
202,2459517745,Agora Hills,Scarlet,798334,265,5578942,4:25
203,1410738042,Woman,Planet Her,900119,181,5578942,3:01
204,797228462,Say So,Hot Pink,836778,240,5578942,4:00
205,637121412,Candy,Amala (Deluxe Version),829616,190,5578942,3:10
206,2440763155,vampire,GUTS,927206,220,11152580,3:40
207,1378342662,favorite crime,SOUR,750708,153,11152580,2:33
208,1378342622,good 4 u,SOUR,867545,178,11152580,2:58
209,1378342612,deja vu,SOUR,836879,215,11152580,3:35
210,1378342592,drivers license,SOUR,892894,242,11152580,4:02
211,3106586641,luther,GNX,961182,178,5531258,2:58
212,3152680431,30 For 30 (with Kendrick Lamar),SOS Deluxe: LANA,790052,278,5531258,4:38
213,2055292087,Snooze,SOS,860772,201,5531258,3:21
214,456965032,All The Stars,Black Panther The Album Music From And Inspired By,676855,235,5531258,3:55
215,3152680451,BMF,SOS Deluxe: LANA,818390,181,5531258,3:01
216,1439691952,INDUSTRY BABY,INDUSTRY BABY,861787,214,15166511,3:34
217,1493915892,THATS WHAT I WANT,MONTERO,916139,143,15166511,2:23
218,1283264142,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),820048,137,15166511,2:17
219,699056262,Old Town Road,7,809032,113,15166511,1:53
220,1139537482,HOLIDAY,HOLIDAY,708207,154,15166511,2:34
221,2826366282,Wanna Be (Remix),Wanna Be (Remix),647487,224,12816021,3:44
222,2867606132,Mamushi (feat. Yuki Chiba),MEGAN,768434,156,12816021,2:36
223,1400843102,Beautiful Mistakes,JORDI (Deluxe),831816,227,12816021,3:47
224,3061373701,Bigger In Texas,MEGAN: ACT II,540252,152,12816021,2:32
225,3061373731,Roc Steady (feat. Flo Milli),MEGAN: ACT II,488891,139,12816021,2:19
226,973317122,Sour Candy,Chromatica,643216,157,10803980,2:37
227,657797522,Kill This Love,KILL THIS LOVE,812404,189,10803980,3:09
228,1097366402,Ice Cream,THE ALBUM,717344,176,10803980,2:56
229,1097366392,How You Like That,THE ALBUM,796977,181,10803980,3:01
230,1873466547,Pink Venom,Pink Venom,783974,186,10803980,3:06
231,447098092,Havana (feat. Young Thug),Camila,908222,216,9236850,3:36
232,1666673152,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),907991,206,9236850,3:26
233,744266542,Shameless,Shameless,863957,219,9236850,3:39
234,447098062,Never Be the Same,Camila,753813,227,9236850,3:47
235,698905582,Señorita,Señorita,854183,190,9236850,3:10
236,3180092121,Slow Motion,Slow Motion,874209,150,15888,2:30
237,692002952,Sucker,Happiness Begins,797763,181,15888,3:01
238,692002972,Only Human,Happiness Begins,785302,183,15888,3:03
239,1379257332,Leave Before You Love Me,Leave Before You Love Me,711348,155,15888,2:35
240,2269800857,Summer Baby,The Album,745647,162,15888,2:42
241,28852751,Starships,Pink Friday ... Roman Reloaded (Deluxe),937480,210,382937,3:30
242,796342592,Tusa,Tusa,888444,200,382937,3:20
243,412843352,Super Bass,Pink Friday (Deluxe Edition),712380,201,382937,3:21
244,2576851242,Barbie Dangerous,Pink Friday 2,448346,133,382937,2:13
245,1863905587,Super Freaky Girl,Super Freaky Girl,654780,171,382937,2:51
